
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
 306 12 2019    0.00    0.00    0.00    0.40    0.00    0.00    0.00    0.00   -0.40    0.00    0.00    0.00     0.4    0.00
 306 24 2019    0.00    0.00    0.00    1.26    0.00    0.00    0.00    0.00   -1.27    0.00    0.00    0.00     1.7    0.00
 307 12 2019    0.00    0.00    0.00    0.29    0.00    0.00    0.00    0.00   -0.29    0.00    0.00    0.00     2.0   -0.00
 307 24 2019    0.00    0.00    0.00    0.80    0.00    0.00    0.00    0.00   -0.80    0.00    0.00    0.00     2.8   -0.00
 308 12 2019    0.00    0.00    0.00    0.26    0.00    0.00    0.00    0.00   -0.26    0.00    0.00    0.00     3.0    0.00
 308 24 2019    0.00    0.00    0.00    0.73    0.00    0.00    0.00    0.00   -0.73    0.00    0.00    0.00     3.7   -0.00
 309 12 2019    0.00    0.00    0.00    0.28    0.00    0.00    0.00    0.00   -0.28    0.00    0.00    0.00     4.0   -0.00
 309 24 2019    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   -0.99    0.00    0.00    0.00     5.0    0.00
 310 12 2019    0.00    0.00    0.00    0.42    0.00    0.00    0.00    0.00   -0.42    0.00    0.00    0.00     5.4    0.00
 310 24 2019    0.00    0.00    0.00    1.49    0.00    0.00    0.00    0.00   -1.49    0.00    0.00    0.00     6.9   -0.00
 311 12 2019    0.00    0.00    0.00    0.90    0.00    0.00    0.00    0.00   -0.90    0.00    0.00    0.00     7.8    0.00
 311 24 2019    0.00    0.00    0.00    1.45    0.00    0.00    0.00    0.00   -1.45    0.00    0.00    0.00     9.3   -0.00
 312 12 2019    0.00    0.00    0.00    0.42    0.00    0.00    0.00    0.00   -0.42    0.00    0.00    0.00     9.7   -0.00
 312 24 2019    0.00    0.00    0.00    0.59    0.00    0.00    0.00    0.00   -0.59    0.00    0.00    0.00    10.3   -0.00
 313 12 2019    0.00    0.00    0.00    0.31    0.00    0.00    0.00    0.00   -0.31    0.00    0.00    0.00    10.6    0.00
 313 24 2019    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   -0.50    0.00    0.00    0.00    11.1   -0.00
 314 12 2019    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00   -0.33    0.00    0.00    0.00    11.4    0.00
 314 24 2019    0.00    0.00    0.00    0.63    0.00    0.00    0.00    0.00   -0.63    0.00    0.00    0.00    12.1    0.00
 315 12 2019    0.00    0.00    0.00    0.23    0.00    0.00    0.00    0.00   -0.23    0.00    0.00    0.00    12.3    0.00
 315 24 2019    0.00    0.00    0.00    0.44    0.00    0.00    0.00    0.00   -0.44    0.00    0.00    0.00    12.7    0.00
 316 12 2019    0.00    0.00    0.00    0.17    0.00    0.00    0.00    0.00   -0.17    0.00    0.00    0.00    12.9    0.00
 316 24 2019    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   -0.50    0.00    0.00    0.00    13.4    0.00
 317 12 2019    0.00    0.00    0.00    0.45    0.00    0.00    0.00    0.00   -0.45    0.00    0.00    0.00    13.9   -0.00
 317 24 2019    0.00    0.00    0.00    0.68    0.00    0.00    0.00    0.00   -0.68    0.00    0.00    0.00    14.5    0.00
 318 12 2019    0.00    0.00    0.00    0.27    0.00    0.00    0.00    0.00   -0.27    0.00    0.00    0.00    14.8   -0.00
 318 24 2019    0.00    0.00    0.00    0.64    0.00    0.00    0.00    0.00   -0.64    0.00    0.00    0.00    15.4   -0.00
 319 12 2019    0.00    0.00    0.00    0.27    0.00    0.00    0.00    0.00   -0.27    0.00    0.00    0.00    15.7   -0.00
 319 24 2019    0.00    0.00    0.00    0.48    0.00    0.00    0.00    0.00   -0.48    0.00    0.00    0.00    16.2   -0.00
 320 12 2019    0.00    0.00    0.00    0.17    0.00    0.00    0.00    0.00   -0.17    0.00    0.00    0.00    16.4   -0.00
 320 24 2019    0.00    0.00    0.00    0.46    0.00    0.00    0.00    0.00   -0.46    0.00    0.00    0.00    16.8   -0.00
 321 12 2019    0.00    0.00    0.00    0.76    0.00    0.00    0.00    0.00   -0.76    0.00    0.00    0.00    17.6    0.00
 321 24 2019    0.00    0.00    0.00    0.75    0.00    0.00    0.00    0.00   -0.75    0.00    0.00    0.00    18.3   -0.00
 322 12 2019    0.00    0.00    0.00    0.11    0.00    0.00    0.00    0.00   -0.11    0.00    0.00    0.00    18.4   -0.00
 322 24 2019    0.00    0.00    0.00    0.12    0.00    0.00    0.00    0.00   -0.12    0.00    0.00    0.00    18.6   -0.00
