310	9	2019	10.82	1	63.94	0	0	189.15
310	10	2019	11.74	2.54	47.1	0	0	263.6
310	11	2019	12.63	3.4	39.27	0	0	201.74
310	12	2019	14.63	3.41	37.87	0	0	348.72
310	13	2019	15.95	3.53	32.74	0	0	354.12
310	14	2019	16.75	4.01	31.13	0	0	225.47
310	15	2019	17.27	3.71	28.16	0	0	245.89
310	16	2019	17.39	4.92	23.99	0	0	147.88
310	17	2019	14.88	5.68	23.58	0	0	31.73
310	18	2019	10.84	5.02	26	0	0	5.76
310	19	2019	8.8	4.07	20.15	0	0	3.28
310	20	2019	7.62	3.18	25.92	0	0	1.92
310	21	2019	7.07	3.74	42.96	0	0	1.55
310	22	2019	6.43	4.65	50.58	0	0	1.48
310	23	2019	5.77	2.85	53.84	0	0	1.38
311	0	2019	5.26	3.07	57.83	0	0	1.37
311	1	2019	6.59	3.86	60.33	0	0	1.39
311	2	2019	6.03	4.26	69.56	0	0	1.29
311	3	2019	5.15	3.98	73.12	0	0	1.3
311	4	2019	3.83	3.83	75.77	0	0	1.34
311	5	2019	3.94	3.53	77.34	0	0	1.28
311	6	2019	3.89	2.9	79.6	0	0	1.32
311	7	2019	5.61	4.49	83.23	0	0	1.53
311	8	2019	10.91	5.04	78.31	0	0	76.25
311	9	2019	12.64	6.1	63.94	0	0	181.35
311	10	2019	14.07	8.33	47.1	0	0	269.6
311	11	2019	15.57	8.54	39.27	0	0	287.13
311	12	2019	16.53	7.79	37.87	0	0	361.87
311	13	2019	18.23	7.78	32.74	0	0	353.8
311	14	2019	18.96	7.91	31.13	0	0	313.18
311	15	2019	19.02	8.08	28.16	0	0	234.63
311	16	2019	17.63	7.84	23.99	0	0	153.22
311	17	2019	16.37	5.83	23.58	0	0	28.37
311	18	2019	13.14	1.5	26	0	0	5.35
311	19	2019	11.52	0.96	20.15	0	0	3.21
311	20	2019	11.1	1.23	25.92	0	0	2.22
311	21	2019	11.07	2.13	42.96	0	0	1.67
311	22	2019	11.28	0.76	50.58	0	0	1.52
311	23	2019	10.54	2.29	53.84	0	0	1.34
312	0	2019	8.89	2.2	57.83	0	0	1.35
312	1	2019	7.63	2.28	60.33	0	0	1.32
312	2	2019	7.06	1.49	69.56	0	0	1.18
312	3	2019	7.26	1.81	73.12	0	0	1.39
312	4	2019	6.66	2.3	75.77	0	0	1.35
312	5	2019	7.12	0.91	77.34	0	0	1.43
312	6	2019	7.05	1.64	79.6	0	0	1.41
312	7	2019	8.29	1.33	83.23	0	0	1.55
312	8	2019	12.61	1.86	78.31	0	0	79.11
312	9	2019	15.78	1.95	63.94	0	0	192.47
312	10	2019	17.22	3.85	47.1	0	0	281.17
312	11	2019	17.7	2.82	39.27	0	0	294.68
312	12	2019	19.48	3.25	37.87	0	0	362.94
312	13	2019	20.11	4.06	32.74	0	0	364.99
312	14	2019	20.53	2.77	31.13	0	0	323.45
312	15	2019	20.65	1.87	28.16	0	0	258.12
312	16	2019	20.18	1.83	23.99	0	0	174.01
312	17	2019	17.12	0.07	23.58	0	0	56.45
312	18	2019	14.86	0.17	26	0	0	9.05
312	19	2019	13.65	0.39	20.15	0	0	4.95
312	20	2019	12.58	0	25.92	0	0	3.03
312	21	2019	12.32	0.2	42.96	0	0	2.09
312	22	2019	10.86	0.01	50.58	0	0	1.75
312	23	2019	11.45	0.14	53.84	0	0	1.51
313	0	2019	10.22	0	57.83	0	0	1.42
313	1	2019	10.46	0.03	60.33	0	0	1.37
313	2	2019	8.68	0.02	69.56	0	0	1.4
313	3	2019	8.43	0.41	73.12	0	0	1.42
313	4	2019	7.88	0.34	75.77	0	0	1.47
313	5	2019	7.37	0.36	77.34	0	0	1.4
313	6	2019	6.94	0	79.6	0	0	1.36
313	7	2019	8.1	0	83.23	0	0	1.53
313	8	2019	11.12	0.28	78.31	0	0	77.41
313	9	2019	12.83	1.07	63.94	0	0	185.4
313	10	2019	11.72	0.66	47.1	0	0	268.43
313	11	2019	11.32	1.08	39.27	0	0	290.27
313	12	2019	11.71	1.64	37.87	0	0	354.73
313	13	2019	12.38	1.01	32.74	0	0	354.41
313	14	2019	12.77	0.63	31.13	0	0	310.71
