
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
 328 24 2019    0.00    0.00    0.00    0.28    0.00    0.00    0.00    0.00   -0.28    0.00    0.00    0.00    13.1   -0.00
 329 12 2019    0.00    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02    0.00    0.00    0.00    13.2    0.00
 329 24 2019    0.00    0.00    0.00    0.11    0.00    0.00    0.00    0.00   -0.11    0.00    0.00    0.00    13.3   -0.00
 330 12 2019    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06    0.00    0.00    0.00    13.3   -0.00
 330 24 2019    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06    0.00    0.00    0.00    13.4   -0.00
 331 12 2019    0.00    0.00    0.00   -0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    13.4    0.00
 331 24 2019    0.00    0.00    0.00    0.15    0.00    0.00    0.00    0.00   -0.15    0.00    0.00    0.00    13.5    0.00
 332 12 2019    0.00    0.00    0.00    0.12    0.00    0.00    0.00    0.00   -0.12    0.00    0.00    0.00    13.6   -0.00
 332 24 2019    0.00    0.00    0.00    0.30    0.00    0.00    0.00    0.00   -0.30    0.00    0.00    0.00    13.9    0.00
 333 12 2019    0.00    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02    0.00    0.00    0.00    14.0    0.00
 333 24 2019    0.00    0.00    0.00    0.14    0.00    0.00    0.00    0.00   -0.14    0.00    0.00    0.00    14.1   -0.00
 334 12 2019    0.00    0.00    0.00    0.03    0.00    0.00    0.00    0.00   -0.03    0.00    0.00    0.00    14.1    0.00
 334 24 2019    0.00    0.00    0.00    0.20    0.00    0.00    0.00    0.00   -0.20    0.00    0.00    0.00    14.3    0.00
 335 12 2019    0.00    0.00    0.00    0.16    0.00    0.00    0.00    0.00   -0.16    0.00    0.00    0.00    14.5   -0.00
 335 24 2019    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   -0.25    0.00    0.00    0.00    14.7    0.00
 336 12 2019    0.00    0.00    0.00   -0.02    0.00    0.00    0.00    0.00    0.02    0.00    0.00    0.00    14.7   -0.00
 336 24 2019    0.00    0.00    0.00    0.10    0.00    0.00    0.00    0.00   -0.10    0.00    0.00    0.00    14.8   -0.00
 337 12 2019    0.00    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02    0.00    0.00    0.00    14.8    0.00
 337 24 2019    0.00    0.00    0.00    0.17    0.00    0.00    0.00    0.00   -0.17    0.00    0.00    0.00    15.0    0.00
 338 12 2019    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    0.00    0.05    0.00    0.00    0.00    15.0   -0.00
 338 24 2019    0.00    0.00    0.00    0.15    0.00    0.00    0.00    0.00   -0.15    0.00    0.00    0.00    15.1    0.00
 339 12 2019    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06    0.00    0.00    0.00    15.2    0.00
 339 24 2019    0.00    0.00    0.00    0.15    0.00    0.00    0.00    0.00   -0.15    0.00    0.00    0.00    15.3   -0.00
 340 12 2019    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   -0.00    0.00    0.00    0.00    15.3    0.00
 340 24 2019    0.00    0.00    0.00    0.08    0.00    0.00    0.00    0.00   -0.08    0.00    0.00    0.00    15.4    0.00
 341 12 2019    0.00    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02    0.00    0.00    0.00    15.4    0.00
 341 24 2019    0.00    0.00    0.00    0.18    0.00    0.00    0.00    0.00   -0.18    0.00    0.00    0.00    15.6   -0.00
 342 12 2019    0.00    0.00    0.00   -0.01    0.00    0.00    0.00    0.00    0.01    0.00    0.00    0.00    15.6    0.00
 342 24 2019    0.00    0.00    0.00    0.11    0.00    0.00    0.00    0.00   -0.11    0.00    0.00    0.00    15.7    0.00
 343 12 2019    0.00    0.00    0.00   -0.04    0.00    0.00    0.00    0.00    0.04    0.00    0.00    0.00    15.7    0.00
 343 24 2019    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09    0.00    0.00    0.00    15.8   -0.00
 344 12 2019    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   -0.00    0.00    0.00    0.00    15.8    0.00
 344 24 2019    0.00    0.00    0.00    0.28    0.00    0.00    0.00    0.00   -0.28    0.00    0.00    0.00    16.1    0.00
 345 12 2019    0.00    0.00    0.00    0.01    0.00    0.00    0.00    0.00   -0.01    0.00    0.00    0.00    16.1    0.00
 345 24 2019    0.00    0.00    0.00    0.21    0.00    0.00    0.00    0.00   -0.21    0.00    0.00    0.00    16.3    0.00
 346 12 2019    0.00    0.00    0.00    0.04    0.00    0.00    0.00    0.00   -0.04    0.00    0.00    0.00    16.3   -0.00
 346 24 2019    0.00    0.00    0.00    0.30    0.00    0.00    0.00    0.00   -0.30    0.00    0.00    0.00    16.6    0.00
 347 12 2019    0.00    0.00    0.00    0.08    0.00    0.00    0.00    0.00   -0.08    0.00    0.00    0.00    16.7    0.00
 347 24 2019    0.00    0.00    0.00    0.34    0.00    0.00    0.00    0.00   -0.34    0.00    0.00    0.00    17.1    0.00
 348 12 2019    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    17.1    0.00
 348 24 2019    0.00    0.00    0.00    0.17    0.00    0.00    0.00    0.00   -0.17    0.00    0.00    0.00    17.3    0.00
 349 12 2019    0.00    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02    0.00    0.00    0.00    17.3   -0.00
 349 24 2019    0.00    0.00    0.00    0.13    0.00    0.00    0.00    0.00   -0.13    0.00    0.00    0.00    17.4    0.00
 350 12 2019    0.00    0.00    0.00    0.08    0.00    0.00    0.00    0.00   -0.08    0.00    0.00    0.00    17.5    0.00
 350 24 2019    0.00    0.00    0.00    0.13    0.00    0.00    0.00    0.00   -0.13    0.00    0.00    0.00    17.6    0.00
 351 12 2019    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06    0.00    0.00    0.00    17.7    0.00
 351 24 2019    0.00    0.00    0.00    0.12    0.00    0.00    0.00    0.00   -0.12    0.00    0.00    0.00    17.8    0.00
 352 12 2019    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06    0.00    0.00    0.00    17.9    0.00
 352 24 2019    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09    0.00    0.00    0.00    18.0    0.00
 353 12 2019    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    18.0    0.00
 353 24 2019    0.00    0.00    0.00    0.13    0.00    0.00    0.00    0.00   -0.13    0.00    0.00    0.00    18.1    0.00
 354 12 2019    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    18.2    0.00
 354 24 2019    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09    0.00    0.00    0.00    18.3    0.00
 355 12 2019    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    18.3    0.00
 355 24 2019    0.00    0.00    0.00    0.08    0.00    0.00    0.00    0.00   -0.08    0.00    0.00    0.00    18.4    0.00
 356 12 2019    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    18.4    0.00
 356 24 2019    0.00    0.00    0.00    0.11    0.00    0.00    0.00    0.00   -0.11    0.00    0.00    0.00    18.6    0.00
 357 12 2019    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    18.6    0.00
 357 24 2019    0.00    0.00    0.00    0.18    0.00    0.00    0.00    0.00   -0.18    0.00    0.00    0.00    18.8    0.00
 358 12 2019    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09    0.00    0.00    0.00    18.9    0.00
 358 24 2019    0.00    0.00    0.00    0.22    0.00    0.00    0.00    0.00   -0.22    0.00    0.00    0.00    19.1    0.00
 359 12 2019    0.00    0.00    0.00    0.07    0.00    0.00    0.00    0.00   -0.07    0.00    0.00    0.00    19.2    0.00
 359 24 2019    0.00    0.00    0.00    0.19    0.00    0.00    0.00    0.00   -0.19    0.00    0.00    0.00    19.3    0.00
 360 12 2019    0.00    0.00    0.00    0.04    0.00    0.00    0.00    0.00   -0.04    0.00    0.00    0.00    19.4    0.00
 360 24 2019    0.00    0.00    0.00    0.08    0.00    0.00    0.00    0.00   -0.08    0.00    0.00    0.00    19.5    0.00
 361 12 2019    0.00    0.00    0.00    0.04    0.00    0.00    0.00    0.00   -0.04    0.00    0.00    0.00    19.5    0.00
 361 24 2019    0.00    0.00    0.00    0.11    0.00    0.00    0.00    0.00   -0.11    0.00    0.00    0.00    19.6    0.00
 362 12 2019    0.00    0.00    0.00    0.04    0.00    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    19.7    0.00
 362 24 2019    0.00    0.00    0.00    0.08    0.00    0.00    0.00    0.00   -0.08    0.00    0.00    0.00    19.7    0.00
 363 12 2019    0.00    0.00    0.00    0.10    0.00    0.00    0.00    0.00   -0.10    0.00    0.00    0.00    19.8    0.00
 363 24 2019    0.00    0.00    0.00    0.22    0.00    0.00    0.00    0.00   -0.22    0.00    0.00    0.00    20.1    0.01
 364 12 2019    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09    0.00    0.00    0.00    20.2    0.00
 364 24 2019    0.00    0.00    0.00    0.16    0.00    0.00    0.00    0.00   -0.16    0.00    0.00    0.00    20.3    0.00
 365 12 2019    0.00    0.00    0.00    0.07    0.00    0.00    0.00    0.00   -0.07    0.00    0.00    0.00    20.4    0.00
 365 24 2019    0.00    0.00    0.00    0.13    0.00    0.00    0.00    0.00   -0.13    0.00    0.00    0.00    20.5    0.00
   1 12 2020    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06    0.00    0.00    0.00    20.6    0.00
   1 24 2020    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09    0.00    0.00    0.00    20.7    0.00
   2 12 2020    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    20.7    0.00
   2 24 2020    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09    0.00    0.00    0.00    20.8    0.00
   3 12 2020    0.00    0.00    0.00    0.04    0.00    0.00    0.00    0.00   -0.04    0.00    0.00    0.00    20.9    0.00
   3 24 2020    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09    0.00    0.00    0.00    20.9    0.00
   4 12 2020    0.00    0.00    0.00    0.03    0.00    0.00    0.00    0.00   -0.03    0.00    0.00    0.00    21.0    0.00
   4 24 2020    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    21.0    0.00
   5 12 2020    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    21.1    0.00
   5 24 2020    0.00    0.00    0.00    0.07    0.00    0.00    0.00    0.00   -0.07    0.00    0.00    0.00    21.1    0.00
   6 12 2020    0.00    0.00    0.00    0.03    0.00    0.00    0.00    0.00   -0.03    0.00    0.00    0.00    21.2    0.00
   6 24 2020    0.00    0.00    0.00    0.17    0.00    0.00    0.00    0.00   -0.18    0.00    0.00    0.00    21.4    0.00
   7 12 2020    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09    0.00    0.00    0.00    21.4    0.00
   7 24 2020    0.00    0.00    0.00    0.13    0.00    0.00    0.00    0.00   -0.13    0.00    0.00    0.00    21.6    0.00
   8 12 2020    0.00    0.00    0.00    0.07    0.00    0.00    0.00    0.00   -0.07    0.00    0.00    0.00    21.6    0.00
   8 24 2020    0.00    0.00    0.00    0.13    0.00    0.00    0.00    0.00   -0.13    0.00    0.00    0.00    21.8    0.00
   9 12 2020    0.00    0.00    0.00    0.07    0.00    0.00    0.00    0.00   -0.07    0.00    0.00    0.00    21.8    0.00
   9 24 2020    0.00    0.00    0.00    0.14    0.00    0.00    0.00    0.00   -0.14    0.00    0.00    0.00    22.0    0.00
  10 12 2020    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    22.0    0.00
  10 24 2020    0.00    0.00    0.00    0.10    0.00    0.00    0.00    0.00   -0.10    0.00    0.00    0.00    22.1    0.00
  11 12 2020    0.00    0.00    0.00    0.04    0.00    0.00    0.00    0.00   -0.04    0.00    0.00    0.00    22.2    0.00
  11 24 2020    0.00    0.00    0.00    0.17    0.00    0.00    0.00    0.00   -0.17    0.00    0.00    0.00    22.3    0.00
  12 12 2020    0.00    0.00    0.00    0.07    0.00    0.00    0.00    0.00   -0.07    0.00    0.00    0.00    22.4    0.00
  12 24 2020    0.00    0.00    0.00    0.22    0.00    0.00    0.00    0.00   -0.22    0.00    0.00    0.00    22.6    0.00
  13 12 2020    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09    0.00    0.00    0.00    22.7    0.00
  13 24 2020    0.00    0.00    0.00    0.23    0.00    0.00    0.00    0.00   -0.23    0.00    0.00    0.00    22.9    0.00
  14 12 2020    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    23.0    0.00
  14 24 2020    0.00    0.00    0.00    0.15    0.00    0.00    0.00    0.00   -0.15    0.00    0.00    0.00    23.1    0.00
  15 12 2020    0.00    0.00    0.00    0.07    0.00    0.00    0.00    0.00   -0.08    0.00    0.00    0.00    23.2    0.00
  15 24 2020    0.00    0.00    0.00    0.23    0.00    0.00    0.00    0.00   -0.23    0.00    0.00    0.00    23.5    0.00
  16 12 2020    0.00    0.00    0.00    0.04    0.00    0.00    0.00    0.00   -0.04    0.00    0.00    0.00    23.5    0.00
  16 24 2020    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06    0.00    0.00    0.00    23.6    0.00
  17 12 2020    0.00    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02    0.00    0.00    0.00    23.6    0.00
  17 24 2020    0.00    0.00    0.00    0.15    0.00    0.00    0.00    0.00   -0.15    0.00    0.00    0.00    23.7    0.00
  18 12 2020    0.00    0.00    0.00    0.07    0.00    0.00    0.00    0.00   -0.07   -0.00    0.00    0.00    23.8    0.00
  18 24 2020    0.00    0.00    0.00    0.16    0.00    0.00    0.00    0.00   -0.16   -0.00    0.00    0.00    23.9    0.00
  19 12 2020    0.00    0.00    0.00    0.01    0.00    0.00    0.00    0.00   -0.01   -0.00    0.00    0.00    24.0    0.00
  19 24 2020    0.00    0.00    0.00    0.07    0.00    0.00    0.00    0.00   -0.07   -0.00    0.00    0.00    24.0    0.00
  20 12 2020    0.00    0.00    0.00    0.04    0.00    0.00    0.00    0.00   -0.04   -0.00    0.00    0.00    24.1    0.00
  20 24 2020    0.00    0.00    0.00    0.14    0.00    0.00    0.00    0.00   -0.14   -0.00    0.00    0.00    24.2    0.00
  21 12 2020    0.00    0.00    0.00    0.03    0.00    0.00    0.00    0.00   -0.03   -0.00    0.00    0.00    24.2    0.00
  21 24 2020    0.00    0.00    0.00    0.12    0.00    0.00    0.00    0.00   -0.12   -0.00    0.00    0.00    24.4    0.00
  22 12 2020    0.00    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02   -0.00    0.00    0.00    24.4    0.00
  22 24 2020    0.00    0.00    0.00    0.16    0.00    0.00    0.00    0.00   -0.16   -0.00    0.00    0.00    24.5    0.00
  23 12 2020    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06   -0.00    0.00    0.00    24.6    0.00
  23 24 2020    0.00    0.00    0.00    0.16    0.00    0.00    0.00    0.00   -0.16   -0.00    0.00    0.00    24.8    0.00
  24 12 2020    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05   -0.00    0.00    0.00    24.8    0.00
  24 24 2020    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06   -0.00    0.00    0.00    24.9    0.00
  25 12 2020    0.00    0.00    0.00    0.03    0.00    0.00    0.00    0.00   -0.03   -0.00    0.00    0.00    24.9    0.00
  25 24 2020    0.00    0.00    0.00    0.10    0.00    0.00    0.00    0.00   -0.10   -0.00    0.00    0.00    25.0    0.00
  26 12 2020    0.00    0.00    0.00    0.13    0.00    0.00    0.00    0.00   -0.13   -0.00    0.00    0.00    25.1    0.00
  26 24 2020    0.00    0.00    0.00    0.30    0.00    0.00    0.00    0.00   -0.30   -0.00    0.00    0.00    25.4    0.00
  27 12 2020    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09   -0.00    0.00    0.00    25.5    0.00
  27 24 2020    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   -0.25   -0.00    0.00    0.00    25.8    0.00
  28 12 2020    0.00    0.00    0.00    0.08    0.00    0.00    0.00    0.00   -0.08   -0.00    0.00    0.00    25.8    0.00
  28 24 2020    0.00    0.00    0.00    0.34    0.00    0.00    0.00    0.00   -0.34   -0.00    0.00    0.00    26.2    0.00
  29 12 2020    0.00    0.00    0.00    0.04    0.00    0.00    0.00    0.00   -0.05   -0.00    0.00    0.00    26.2    0.00
  29 24 2020    0.00    0.00    0.00    0.27    0.00    0.00    0.00    0.00   -0.27   -0.00    0.00    0.00    26.5    0.00
  30 12 2020    0.00    0.00    0.00    0.04    0.00    0.00    0.00    0.00   -0.04   -0.00    0.00    0.00    26.5    0.00
  30 24 2020    0.00    0.00    0.00    0.32    0.00    0.00    0.00    0.00   -0.32   -0.00    0.00    0.00    26.9    0.00
  31 12 2020    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09   -0.00    0.00    0.00    27.0    0.00
  31 24 2020    0.00    0.00    0.00    0.26    0.00    0.00    0.00    0.00   -0.26   -0.00    0.00    0.00    27.2    0.00
  32 12 2020    0.00    0.00    0.00    0.14    0.00    0.00    0.00    0.00   -0.14   -0.00    0.00    0.00    27.4    0.00
  32 24 2020    0.00    0.00    0.00    0.26    0.00    0.00    0.00    0.00   -0.26   -0.00    0.00    0.00    27.6    0.00
  33 12 2020    0.00    0.00    0.00    0.08    0.00    0.00    0.00    0.00   -0.08   -0.00    0.00    0.00    27.7    0.00
  33 24 2020    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   -0.25   -0.00    0.00    0.00    27.9    0.00
  34 12 2020    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06   -0.00    0.00    0.00    28.0    0.00
  34 24 2020    0.00    0.00    0.00    0.11    0.00    0.00    0.00    0.00   -0.11   -0.00    0.00    0.00    28.1    0.00
  35 12 2020    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06   -0.00    0.00    0.00    28.2    0.00
  35 24 2020    0.00    0.00    0.00    0.18    0.00    0.00    0.00    0.00   -0.18   -0.00    0.00    0.00    28.3    0.00
  36 12 2020    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06    0.00    0.00    0.00    28.4    0.00
  36 24 2020    0.00    0.00    0.00    0.24    0.00    0.00    0.00    0.00   -0.24    0.00    0.00    0.00    28.6    0.00
  37 12 2020    0.00    0.00    0.00    0.13    0.00    0.00    0.00    0.00   -0.13    0.00    0.00    0.00    28.8    0.00
  37 24 2020    0.00    0.00    0.00    0.18    0.00    0.00    0.00    0.00   -0.19    0.00    0.00    0.00    29.0    0.00
  38 12 2020    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    29.0    0.00
  38 24 2020    0.00    0.00    0.00    0.21    0.00    0.00    0.00    0.00   -0.21    0.00    0.00    0.00    29.2    0.00
  39 12 2020    0.00    0.00    0.00    0.03    0.00    0.00    0.00    0.00   -0.03    0.00    0.00    0.00    29.3    0.00
  39 24 2020    0.00    0.00    0.00    0.12    0.00    0.00    0.00    0.00   -0.12    0.00    0.00    0.00    29.4    0.00
  40 12 2020    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06    0.00    0.00    0.00    29.4    0.00
  40 24 2020    0.00    0.00    0.00    0.14    0.00    0.00    0.00    0.00   -0.14    0.00    0.00    0.00    29.6    0.00
  41 12 2020    0.00    0.00    0.00    0.04    0.00    0.00    0.00    0.00   -0.04    0.00    0.00    0.00    29.6    0.00
  41 24 2020    0.00    0.00    0.00    0.14    0.00    0.00    0.00    0.00   -0.14    0.00    0.00    0.00    29.8    0.00
  42 12 2020    0.00    0.00    0.00    0.01    0.00    0.00    0.00    0.00   -0.01    0.00    0.00    0.00    29.8    0.00
  42 24 2020    0.00    0.00    0.00    0.13    0.00    0.00    0.00    0.00   -0.13    0.00    0.00    0.00    29.9    0.00
  43 12 2020    0.00    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02    0.00    0.00    0.00    29.9    0.00
  43 24 2020    0.00    0.00    0.00    0.14    0.00    0.00    0.00    0.00   -0.14    0.00    0.00    0.00    30.1    0.00
  44 12 2020    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   -0.00    0.00    0.00    0.00    30.1    0.00
  44 24 2020    0.00    0.00    0.00    0.11    0.00    0.00    0.00    0.00   -0.11    0.00    0.00    0.00    30.2    0.00
