
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
 328 24 2019    0.00    0.00    0.00    0.73    0.00    0.00    0.00    0.00   -0.73    0.00    0.00    0.00    22.8   -0.00
 329 12 2019    0.00    0.00    0.00    0.07    0.00    0.00    0.00    0.00   -0.07    0.00    0.00    0.00    22.9   -0.00
 329 24 2019    0.00    0.00    0.00    0.23    0.00    0.00    0.00    0.00   -0.23    0.00    0.00    0.00    23.1    0.00
 330 12 2019    0.00    0.00    0.00    0.08    0.00    0.00    0.00    0.00   -0.08    0.00    0.00    0.00    23.2    0.00
 330 24 2019    0.00    0.00    0.00    0.13    0.00    0.00    0.00    0.00   -0.13    0.00    0.00    0.00    23.3    0.00
 331 12 2019    0.00    0.00    0.00    0.08    0.00    0.00    0.00    0.00   -0.08    0.00    0.00    0.00    23.4   -0.00
 331 24 2019    0.00    0.00    0.00    0.23    0.00    0.00    0.00    0.00   -0.23    0.00    0.00    0.00    23.6   -0.00
 332 12 2019    0.00    0.00    0.00    0.32    0.00    0.00    0.00    0.00   -0.32    0.00    0.00    0.00    23.9   -0.00
 332 24 2019    0.00    0.00    0.00    0.66    0.00    0.00    0.00    0.00   -0.66    0.00    0.00    0.00    24.6   -0.00
 333 12 2019    0.00    0.00    0.00    0.12    0.00    0.00    0.00    0.00   -0.12    0.00    0.00    0.00    24.7    0.00
 333 24 2019    0.00    0.00    0.00    0.26    0.00    0.00    0.00    0.00   -0.26    0.00    0.00    0.00    25.0    0.00
 334 12 2019    0.00    0.00    0.00    0.07    0.00    0.00    0.00    0.00   -0.07    0.00    0.00    0.00    25.1    0.00
 334 24 2019    0.00    0.00    0.00    0.36    0.00    0.00    0.00    0.00   -0.36    0.00    0.00    0.00    25.4   -0.00
 335 12 2019    0.00    0.00    0.00    0.59    0.00    0.00    0.00    0.00   -0.59    0.00    0.00    0.00    26.0   -0.00
 335 24 2019    0.00    0.00    0.00    0.67    0.00    0.00    0.00    0.00   -0.67    0.00    0.00    0.00    26.7    0.00
 336 12 2019    0.00    0.00    0.00   -0.02    0.00    0.00    0.00    0.00    0.02    0.00    0.00    0.00    26.7   -0.00
 336 24 2019    0.00    0.00    0.00    0.21    0.00    0.00    0.00    0.00   -0.21    0.00    0.00    0.00    26.9    0.00
 337 12 2019    0.00    0.00    0.00    0.11    0.00    0.00    0.00    0.00   -0.11    0.00    0.00    0.00    27.0   -0.00
 337 24 2019    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00   -0.33    0.00    0.00    0.00    27.3   -0.00
 338 12 2019    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    0.00    0.05    0.00    0.00    0.00    27.3   -0.00
 338 24 2019    0.00    0.00    0.00    0.22    0.00    0.00    0.00    0.00   -0.22    0.00    0.00    0.00    27.5    0.00
 339 12 2019    0.00    0.00    0.00    0.14    0.00    0.00    0.00    0.00   -0.14    0.00    0.00    0.00    27.6    0.00
 339 24 2019    0.00    0.00    0.00    0.29    0.00    0.00    0.00    0.00   -0.29    0.00    0.00    0.00    27.9    0.00
 340 12 2019    0.00    0.00    0.00    0.01    0.00    0.00    0.00    0.00   -0.01    0.00    0.00    0.00    27.9    0.00
 340 24 2019    0.00    0.00    0.00    0.14    0.00    0.00    0.00    0.00   -0.14    0.00    0.00    0.00    28.1   -0.00
 341 12 2019    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09    0.00    0.00    0.00    28.1   -0.00
 341 24 2019    0.00    0.00    0.00    0.43    0.00    0.00    0.00    0.00   -0.43    0.00    0.00    0.00    28.6   -0.00
 342 12 2019    0.00    0.00    0.00    0.01    0.00    0.00    0.00    0.00   -0.01    0.00    0.00    0.00    28.6    0.00
 342 24 2019    0.00    0.00    0.00    0.19    0.00    0.00    0.00    0.00   -0.19    0.00    0.00    0.00    28.8   -0.00
 343 12 2019    0.00    0.00    0.00   -0.04    0.00    0.00    0.00    0.00    0.04    0.00    0.00    0.00    28.7   -0.00
 343 24 2019    0.00    0.00    0.00    0.13    0.00    0.00    0.00    0.00   -0.13    0.00    0.00    0.00    28.9   -0.00
 344 12 2019    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09    0.00    0.00    0.00    28.9    0.00
 344 24 2019    0.00    0.00    0.00    0.66    0.00    0.00    0.00    0.00   -0.66    0.00    0.00    0.00    29.6   -0.00
 345 12 2019    0.00    0.00    0.00    0.04    0.00    0.00    0.00    0.00   -0.04    0.00    0.00    0.00    29.7   -0.00
 345 24 2019    0.00    0.00    0.00    0.38    0.00    0.00    0.00    0.00   -0.38    0.00    0.00    0.00    30.0   -0.00
 346 12 2019    0.00    0.00    0.00    0.10    0.00    0.00    0.00    0.00   -0.10    0.00    0.00    0.00    30.1   -0.00
 346 24 2019    0.00    0.00    0.00    0.88    0.00    0.00    0.00    0.00   -0.88    0.00    0.00    0.00    31.0   -0.00
 347 12 2019    0.00    0.00    0.00    0.29    0.00    0.00    0.00    0.00   -0.29    0.00    0.00    0.00    31.3    0.00
 347 24 2019    0.00    0.00    0.00    1.22    0.00    0.00    0.00    0.00   -1.22    0.00    0.00    0.00    32.5    0.00
 348 12 2019    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09    0.00    0.00    0.00    32.6    0.00
 348 24 2019    0.00    0.00    0.00    0.36    0.00    0.00    0.00    0.00   -0.36    0.00    0.00    0.00    33.0    0.00
 349 12 2019    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    33.0   -0.00
 349 24 2019    0.00    0.00    0.00    0.29    0.00    0.00    0.00    0.00   -0.29    0.00    0.00    0.00    33.3    0.00
 350 12 2019    0.00    0.00    0.00    0.17    0.00    0.00    0.00    0.00   -0.17    0.00    0.00    0.00    33.5    0.00
 350 24 2019    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   -0.25    0.00    0.00    0.00    33.7   -0.00
 351 12 2019    0.00    0.00    0.00    0.11    0.00    0.00    0.00    0.00   -0.11    0.00    0.00    0.00    33.8    0.00
 351 24 2019    0.00    0.00    0.00    0.23    0.00    0.00    0.00    0.00   -0.23    0.00    0.00    0.00    34.1    0.00
 352 12 2019    0.00    0.00    0.00    0.12    0.00    0.00    0.00    0.00   -0.12    0.00    0.00    0.00    34.2    0.00
 352 24 2019    0.00    0.00    0.00    0.17    0.00    0.00    0.00    0.00   -0.17    0.00    0.00    0.00    34.4    0.00
 353 12 2019    0.00    0.00    0.00    0.08    0.00    0.00    0.00    0.00   -0.08    0.00    0.00    0.00    34.4    0.00
 353 24 2019    0.00    0.00    0.00    0.24    0.00    0.00    0.00    0.00   -0.24    0.00    0.00    0.00    34.7    0.00
 354 12 2019    0.00    0.00    0.00    0.08    0.00    0.00    0.00    0.00   -0.08    0.00    0.00    0.00    34.8    0.00
 354 24 2019    0.00    0.00    0.00    0.16    0.00    0.00    0.00    0.00   -0.16    0.00    0.00    0.00    34.9    0.00
 355 12 2019    0.00    0.00    0.00    0.07    0.00    0.00    0.00    0.00   -0.07    0.00    0.00    0.00    35.0    0.00
 355 24 2019    0.00    0.00    0.00    0.15    0.00    0.00    0.00    0.00   -0.15    0.00    0.00    0.00    35.1    0.00
 356 12 2019    0.00    0.00    0.00    0.08    0.00    0.00    0.00    0.00   -0.08    0.00    0.00    0.00    35.2    0.00
 356 24 2019    0.00    0.00    0.00    0.19    0.00    0.00    0.00    0.00   -0.19    0.00    0.00    0.00    35.4    0.00
 357 12 2019    0.00    0.00    0.00    0.07    0.00    0.00    0.00    0.00   -0.07    0.00    0.00    0.00    35.5    0.00
 357 24 2019    0.00    0.00    0.00    0.39    0.00    0.00    0.00    0.00   -0.39    0.00    0.00    0.00    35.9    0.00
 358 12 2019    0.00    0.00    0.00    0.15    0.00    0.00    0.00    0.00   -0.15    0.00    0.00    0.00    36.0    0.00
 358 24 2019    0.00    0.00    0.00    0.48    0.00    0.00    0.00    0.00   -0.48    0.00    0.00    0.00    36.5    0.00
 359 12 2019    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09    0.00    0.00    0.00    36.6    0.00
 359 24 2019    0.00    0.00    0.00    0.38    0.00    0.00    0.00    0.00   -0.38    0.00    0.00    0.00    37.0    0.00
 360 12 2019    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    37.0    0.00
 360 24 2019    0.00    0.00    0.00    0.17    0.00    0.00    0.00    0.00   -0.17    0.00    0.00    0.00    37.2    0.00
 361 12 2019    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06    0.00    0.00    0.00    37.2    0.00
 361 24 2019    0.00    0.00    0.00    0.21    0.00    0.00    0.00    0.00   -0.21    0.00    0.00    0.00    37.5    0.00
 362 12 2019    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06    0.00    0.00    0.00    37.5    0.00
 362 24 2019    0.00    0.00    0.00    0.13    0.00    0.00    0.00    0.00   -0.13    0.00    0.00    0.00    37.6    0.00
 363 12 2019    0.00    0.00    0.00    0.22    0.00    0.00    0.00    0.00   -0.22    0.00    0.00    0.00    37.9    0.00
 363 24 2019    0.00    0.00    0.00    0.48    0.00    0.00    0.00    0.00   -0.48    0.00    0.00    0.00    38.3   -0.00
 364 12 2019    0.00    0.00    0.00    0.20    0.00    0.00    0.00    0.00   -0.20    0.00    0.00    0.00    38.5    0.00
 364 24 2019    0.00    0.00    0.00    0.42    0.00    0.00    0.00    0.00   -0.42    0.00    0.00    0.00    39.0    0.00
 365 12 2019    0.00    0.00    0.00    0.19    0.00    0.00    0.00    0.00   -0.19    0.00    0.00    0.00    39.1    0.00
 365 24 2019    0.00    0.00    0.00    0.34    0.00    0.00    0.00    0.00   -0.34    0.00    0.00    0.00    39.5    0.00
   1 12 2020    0.00    0.00    0.00    0.15    0.00    0.00    0.00    0.00   -0.15    0.00    0.00    0.00    39.6    0.00
   1 24 2020    0.00    0.00    0.00    0.22    0.00    0.00    0.00    0.00   -0.22    0.00    0.00    0.00    39.9    0.00
   2 12 2020    0.00    0.00    0.00    0.12    0.00    0.00    0.00    0.00   -0.12    0.00    0.00    0.00    40.0    0.00
   2 24 2020    0.00    0.00    0.00    0.19    0.00    0.00    0.00    0.00   -0.19    0.00    0.00    0.00    40.2    0.00
   3 12 2020    0.00    0.00    0.00    0.08    0.00    0.00    0.00    0.00   -0.08    0.00    0.00    0.00    40.3    0.00
   3 24 2020    0.00    0.00    0.00    0.19    0.00    0.00    0.00    0.00   -0.20    0.00    0.00    0.00    40.5    0.00
   4 12 2020    0.00    0.00    0.00    0.08    0.00    0.00    0.00    0.00   -0.08    0.00    0.00    0.00    40.5    0.00
   4 24 2020    0.00    0.00    0.00    0.13    0.00    0.00    0.00    0.00   -0.13    0.00    0.00    0.00    40.7    0.00
   5 12 2020    0.00    0.00    0.00    0.11    0.00    0.00    0.00    0.00   -0.11    0.00    0.00    0.00    40.8    0.00
   5 24 2020    0.00    0.00    0.00    0.19    0.00    0.00    0.00    0.00   -0.19    0.00    0.00    0.00    41.0    0.00
   6 12 2020    0.00    0.00    0.00    0.13    0.00    0.00    0.00    0.00   -0.13    0.00    0.00    0.00    41.1    0.00
   6 24 2020    0.00    0.00    0.00    0.61    0.00    0.00    0.00    0.00   -0.61    0.00    0.00    0.00    41.7    0.00
   7 12 2020    0.00    0.00    0.00    0.30    0.00    0.00    0.00    0.00   -0.30    0.00    0.00    0.00    42.0    0.00
   7 24 2020    0.00    0.00    0.00    0.43    0.00    0.00    0.00    0.00   -0.43    0.00    0.00    0.00    42.4    0.00
   8 12 2020    0.00    0.00    0.00    0.23    0.00    0.00    0.00    0.00   -0.23    0.00    0.00    0.00    42.7    0.00
   8 24 2020    0.00    0.00    0.00    0.44    0.00    0.00    0.00    0.00   -0.44    0.00    0.00    0.00    43.1    0.00
   9 12 2020    0.00    0.00    0.00    0.23    0.00    0.00    0.00    0.00   -0.23    0.00    0.00    0.00    43.3    0.00
   9 24 2020    0.00    0.00    0.00    0.44    0.00    0.00    0.00    0.00   -0.44    0.00    0.00    0.00    43.8    0.00
